Agent ID,Openness,Agreeableness,Concientiousness,Neuroticism,Systematicity,Sensitivity,Attitude Toward Social Stability,Power,Charm,Terror Management,Narrative Immediacy,Intentionality Perception,Hierarchical Complexity,Purity and Sanctity,Wellbeing for Ingroup,Vigilance Toward Non-Kin,Vigilance Toward Non-Reciprocators,Vigilance Toward Cultural Others,Ritual Mode Variation,Ritual Object Variation,Costly Signaling,CTMextreme
989-0,0.7131924535389066,0.4657347907312162,0.7675281405378558,0.6496750546225007,0.3561953658873155,0.4976134431534395,-0.0675434342573514,0.44478060242221873,0.5587828911368948,0.9646394585054727,0.9412943309492658,0.9853817669493256,0.9126625912654105,0.9458264854371322,0.9896863494656529,0.9982988293380339,0.967584858072174,0.9056072017130685,0.9409257761557615,0.9118642015019632,0.9437663572989857,1
988-0,0.5120752522597406,0.30770174234554304,0.44714728116661506,0.6648728753415448,0.4436717155691825,0.6673048527063834,-0.07274029006372448,0.42854959968967576,0.49424758396248286,0.990088806526605,0.9107629487678285,0.9542333072182062,0.932515295716992,0.9293837389823217,0.9773256575958605,0.999919794640806,0.9212607871111382,0.9319584423630058,0.9724973754985764,0.9480407178175139,0.9637945771331303,1
987-0,0.7436350628355395,0.38876918522527715,0.5989534662659465,0.5304250854267453,0.31553957783989334,0.5653402057205595,0.24938822221131735,0.5035367355921803,0.49905401985049863,0.9196948966366362,0.9033007819620156,0.9897959704832738,0.9397657986467065,0.9580874173691081,0.93413160996165,0.9143990113952418,0.9121355101313633,0.9748825708207052,0.9002480732730594,0.9638239946124778,0.9600010396015262,0
986-0,0.5396440451701513,0.5970873320514506,0.36333782790973745,0.5331462645910541,0.7360785114026074,0.569917888793959,-0.4264918719303821,0.42695738139650347,0.3852761121242936,0.9146041537755061,0.9874361911768987,0.9543814974875077,0.9461402467431772,0.9054707160793094,0.9880524490650521,0.9801222712124347,0.9470941194326369,0.9257317899861464,0.9810814847864882,0.9284494175511474,0.9990886528210724,0
985-0,0.5754096905201206,0.16120112168010542,0.7255801819789067,0.7783671181374308,0.42723379087024305,0.38984980309323597,0.058157088793679534,0.6151448248237318,0.5930896974272387,0.9337079651489529,0.938197092367,0.9567216626485505,0.9946954352608157,0.9403886161938352,0.9435568049204559,0.9474265469827997,0.9770994426630579,0.9722447235070608,0.9494689345447288,0.9266097909820699,0.9532006138961833,0
984-0,0.31268370858730643,0.35341566352677767,0.600487838574231,0.47939080587184957,0.8018328839809546,0.6018319855808677,0.5552069260074153,0.2428132086072764,0.571504920553926,0.9412271963755183,0.9089517588937868,0.9201453855106716,0.943334001903657,0.952156300198468,0.9864308610616913,0.9409808651110871,0.9839895855258363,0.9895493471327055,0.9037016250469396,0.9750985043507172,0.9993740744657476,0
983-0,0.3995362758795665,0.27126344517451373,0.39745787889362283,0.5712064658437996,0.2826100105411004,0.5529084163295346,-0.3220086274735364,0.24864322983980092,0.5518202748044876,0.9500398735063214,0.9926781768551316,0.9760411352642488,0.96975729128715,0.9907131846852744,0.915174989240999,0.9870761898099334,0.9793840585568369,0.9835579513129985,0.9241019544233802,0.9562626876521196,0.9332892204656471,1
982-0,0.41701477121334707,0.3636923264633636,0.47668261004523443,0.5253287864687329,0.6558436578559573,0.5197817924421014,-0.11844411161884305,0.6341971896933455,0.23149762365047588,0.9564690211392204,0.9593861344385505,0.9834912136111772,0.9031545394582157,0.9824516642853571,0.9669218784922623,0.9817831317224635,0.959412826967533,0.929671171629604,0.9357631905293838,0.9510324725640147,0.9938189027543791,1
981-0,0.7494049651895635,0.28304833531601253,0.4206271381478698,0.3112363608003641,0.5767063936368619,0.057340433436144034,-0.5773627029494031,0.6607949088639732,0.22882597821444184,0.9584535262086791,0.957117275840245,0.9816200667673832,0.9816851472460107,0.9534666254368229,0.9195683213217574,0.9552621740338998,0.9217906084351517,0.9102523361798178,0.9029790644429814,0.9510171030041562,0.9487265434226512,1
980-0,0.27112415119474625,0.4727739750005248,0.6746330815586401,0.5025989760315123,0.572588114506982,0.4724180810632682,0.2583682560248102,0.3990319844405216,0.5005676813487936,0.9687459009259565,0.9969176738074161,0.9790419026585,0.9792487738080377,0.9010990838922556,0.9083372453688111,0.9806655092684919,0.9832566257318187,0.9528309906948609,0.9876546995420188,0.9114589485631976,0.9121682084393407,1
