----------------------------------------------------------
Condition, ContributionRate, % of Meeting/Exceeding Cases
changeRate < maxBirthRate AND changeRate == hgcling, 0.2474, 0.2000
changeRate < minBirthRate AND changeRate < stress, 0.2474, 1.0000
changeRate < minBirthRate AND changeRate == hgcling, 0.2474, 0.2000
changeRate < stress AND changeRate == hgcling, 0.2474, 0.2000
technology < maxBirthRate AND technology < minBirthRate, 0.2474, 1.0000
technology < maxBirthRate AND technology < stress, 0.2474, 1.0000
technology < maxBirthRate AND technology == hgcling, 0.2474, 0.2000
technology < minBirthRate AND technology < stress, 0.2474, 1.0000
technology < minBirthRate AND technology == hgcling, 0.2474, 0.2000
technology < stress AND technology == hgcling, 0.2474, 0.2000
resistChange < maxBirthRate AND resistChange < minBirthRate, 0.2474, 1.0000
resistChange < maxBirthRate AND resistChange < stress, 0.2474, 1.0000
resistChange < maxBirthRate AND resistChange == hgcling, 0.2474, 0.2000
resistChange < minBirthRate AND resistChange < stress, 0.2474, 1.0000
resistChange < minBirthRate AND resistChange == hgcling, 0.2474, 0.2000
resistChange < stress AND resistChange == hgcling, 0.2474, 0.2000
maxBirthRate > stress AND maxBirthRate > hgcling, 0.2474, 1.0000
0.22071137650601885 > technology > 0.07928862349393485, 0.2469, 0.5988
changeRate > technology, 0.2452, 0.3964
changeRate > technology AND changeRate < maxBirthRate, 0.2452, 0.3964
changeRate > technology AND changeRate < minBirthRate, 0.2452, 0.3964
changeRate > technology AND changeRate < stress, 0.2452, 0.3964
technology < 0.07928862349393485, 0.2444, 0.1976
0.22071137650605047 > resistChange > 0.07928862349394325, 0.2346, 0.5689
technology > resistChange, 0.2333, 0.3772
changeRate < technology AND changeRate == resistChange, 0.2333, 0.0754
changeRate == technology AND changeRate > resistChange, 0.2333, 0.0754
technology > resistChange AND technology < maxBirthRate, 0.2333, 0.3772
technology > resistChange AND technology < minBirthRate, 0.2333, 0.3772
technology > resistChange AND technology < stress, 0.2333, 0.3772
changeRate > resistChange, 0.2311, 0.3737
changeRate > resistChange AND changeRate < maxBirthRate, 0.2311, 0.3737
changeRate > resistChange AND changeRate < minBirthRate, 0.2311, 0.3737
changeRate > resistChange AND changeRate < stress, 0.2311, 0.3737
changeRate > technology AND changeRate > resistChange, 0.2309, 0.2240
resistChange < 0.07928862349394325, 0.2296, 0.1856
changeRate < technology AND changeRate > resistChange, 0.2296, 0.0743
minBirthRate = stress, 0.2000, 0.0898
minBirthRate == stress AND minBirthRate > hgcling, 0.2000, 0.0898
2.4082523226054797 > maxBirthRate > 1.5917476773945203, 0.1644, 0.2216
stress > 0.6633009290421816, 0.1644, 0.2216
1.4082523226054797 > minBirthRate > 0.5917476773945203, 0.1556, 0.2096
maxBirthRate > minBirthRate, 0.1533, 0.5509
maxBirthRate > minBirthRate AND maxBirthRate > stress, 0.1533, 0.5509
maxBirthRate > minBirthRate AND maxBirthRate > hgcling, 0.1533, 0.5509
changeRate < resistChange AND changeRate < hgcling, 0.1402, 0.1360
technology < resistChange AND technology < hgcling, 0.1358, 0.1317
maxBirthRate > 2.4082523226054797, 0.1333, 0.1796
minBirthRate < 0.5917476773945203, 0.1333, 0.1796
changeRate < technology AND changeRate < hgcling, 0.1306, 0.1267
hgcling > 0.2207113765060541, 0.1289, 0.1042
0.2207113765060541 > hgcling > 0.07928862349394579, 0.1289, 0.3126
changeRate < hgcling, 0.1289, 0.2084
changeRate < maxBirthRate AND changeRate < hgcling, 0.1289, 0.2084
changeRate < minBirthRate AND changeRate < hgcling, 0.1289, 0.2084
changeRate < stress AND changeRate < hgcling, 0.1289, 0.2084
technology < hgcling, 0.1267, 0.2048
changeRate == technology AND changeRate < hgcling, 0.1267, 0.0410
changeRate > technology AND changeRate == hgcling, 0.1267, 0.0410
technology < maxBirthRate AND technology < hgcling, 0.1267, 0.2048
technology < minBirthRate AND technology < hgcling, 0.1267, 0.2048
technology < stress AND technology < hgcling, 0.1267, 0.2048
changeRate > technology AND changeRate < hgcling, 0.1259, 0.0407
technology == resistChange AND technology < hgcling, 0.1148, 0.0371
technology > resistChange AND technology == hgcling, 0.1148, 0.0371
resistChange < hgcling, 0.1126, 0.1820
changeRate == resistChange AND changeRate < hgcling, 0.1126, 0.0364
changeRate > resistChange AND changeRate == hgcling, 0.1126, 0.0364
resistChange < maxBirthRate AND resistChange < hgcling, 0.1126, 0.1820
resistChange < minBirthRate AND resistChange < hgcling, 0.1126, 0.1820
resistChange < stress AND resistChange < hgcling, 0.1126, 0.1820
changeRate > resistChange AND changeRate < hgcling, 0.1111, 0.0359
technology > resistChange AND technology < hgcling, 0.1111, 0.0359

